"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","entrezgene_id"
"21517","236702_at",-0.0823279795170206,5.68937362428785,-1.09958290781791,0.27208864070372,0.378397568639593,-6.44141465699392,51507
"21518","223052_x_at",0.0664257657712977,4.53830257158716,1.09927645407098,0.272222105859091,0.378565586751902,-6.441748898541,NA
"21519","208252_s_at",-0.0695890570709299,4.03889323124758,-1.09917512386801,0.27226624655476,0.378609375988877,-6.44185939650761,9469
"21520","229038_at",-0.103368843009933,4.746000383518,-1.09903411383926,0.27232768045355,0.378677207708737,-6.44201314743763,55280
"21521","1555350_at",-0.0770083890067741,3.95176039027872,-1.09898845234133,0.272347575857511,0.378687275682364,-6.44206293045522,51535
"21522","206973_at",-0.0521820526901333,4.50664064526893,-1.09863476056578,0.272501718507814,0.378883998914034,-6.44244847763194,8499
"21523","1553880_at",0.068966911324198,4.68361134203908,1.09843118846702,0.272590464551916,0.378989781222485,-6.44267032856524,NA
"21524","226757_at",0.409439306899649,7.00388702682327,1.09825352322056,0.272667932869611,0.37907987470685,-6.44286391303797,3433
"21525","1555743_s_at",0.075892243029827,7.6780754531102,1.09808218264271,0.27274265772173,0.379166145861326,-6.44305057663157,NA
"21526","233006_at",0.0582733111768965,4.2340295121734,1.0978474134257,0.272845067819112,0.379290895169521,-6.44330629425496,5414
"21527","226991_at",0.212903240457986,7.08553669315196,1.09777865008974,0.272875068485129,0.379314978833511,-6.44338118303008,4773
"21528","1558080_s_at",0.235610851616053,5.93338338638545,1.09769991872677,0.272909420868381,0.379345109163203,-6.44346692205443,5611
"21529","227945_at",0.169901612557748,6.84962490505285,1.09764597817949,0.272932958136852,0.379360204342382,-6.44352566016995,23216
"21530","203714_s_at",0.139462619046197,7.9053864670126,1.09755781543467,0.272971431457372,0.379385108708878,-6.44362165808456,6905
"21531","217878_s_at",-0.212759999826234,8.15749099457276,-1.09754681474074,0.272976232308878,0.379385108708878,-6.44363363589024,996
"21532","201768_s_at",-0.123871353368938,8.06429606790431,-1.09735584880052,0.273059581659061,0.379476531237222,-6.44384154491709,9685
"21533","230224_at",0.147890573040245,5.00810069645709,1.09733799377537,0.273067375589196,0.379476531237222,-6.44386098225541,644353
"21534","1565862_a_at",-0.0914421055074039,3.76225570343883,-1.09712656384798,0.273159678864374,0.37958717518053,-6.44409112519303,NA
"21535","227095_at",0.157983280214182,8.0557083618458,1.09702748179648,0.273202942158645,0.379624180393747,-6.44419896151047,54741
"21536","220605_s_at",-0.0612451898699486,8.27028392868155,-1.09700746880297,0.273211681224426,0.379624180393747,-6.44422074154996,22933
"21537","228574_at",0.209927229465858,4.71939526431419,1.09677585494891,0.273312833905573,0.379747097636178,-6.44447277697827,160335
"21538","229528_at",0.13025438112721,7.55789361600835,1.0966518212185,0.273367013698068,0.379804741289859,-6.44460772509359,55206
"21539","212086_x_at",0.191921541056192,8.27124829614034,1.0965810101032,0.273397948357983,0.379830085271568,-6.44468476044623,4000
"21540","200890_s_at",-0.151245534299738,7.4357921343409,-1.0965372664964,0.273417059461561,0.379839001268699,-6.44473234660655,6745
"21541","210048_at",-0.141612039465353,5.83876947796711,-1.0964496149771,0.273455356209636,0.379874568460942,-6.44482769198336,8774
"21542","205381_at",0.106715343349764,3.30219788070677,1.09635644870764,0.273496066498855,0.379913485001937,-6.44492902787064,10234
"21543","205445_at",-0.154814935125889,3.91245302044027,-1.09620506583017,0.273562224203912,0.379987745303712,-6.44509366703085,5617
"21544","209102_s_at",-0.176536868254772,8.62642176872631,-1.09610894799609,0.273604235544577,0.380028460101928,-6.44519818996501,26959
"21545","207809_s_at",-0.11762147427797,9.59507656330585,-1.09589669709701,0.27369702218854,0.380124632522882,-6.44542896901639,537
"21546","231838_at",0.163438795531881,4.98718539778434,1.09589244421906,0.273698881577932,0.380124632522882,-6.44543359268918,80336
"21547","226929_at",-0.10122830976995,6.77930153987357,-1.09508179632827,0.274053460970116,0.380599422939145,-6.44631459242284,4524
"21548","210838_s_at",-0.0654391124600862,4.31977382485925,-1.0950270094756,0.274077436230125,0.380615054842688,-6.44637411054095,94
